time,pos,year,quarter_0,quarter,quarter_consec,PseudoFrac
1958.1283,35.68,1958,0,1,1,0.007136
1958.3818,23.06,1958,1,2,2,0.004612
1958.6235,51.15,1958,2,3,3,0.01023
1958.8983,330.84,1958,3,4,4,0.066168
1959.1298,139.93,1959,0,1,5,0.027986
1959.3954,21.43,1959,1,2,6,0.004286
1959.6489,7,1959,2,3,7,0.0014
1959.8677,11.56,1959,3,4,8,0.002312
1960.1212,0.75,1960,0,1,9,0.00015
1960.3976,0.8,1960,1,2,10,0.00016
1960.628,0.84,1960,2,3,11,0.000168
1960.8813,15.36,1960,3,4,12,0.003072
1961.1693,6.37,1961,0,1,13,0.001274
1961.3651,1.88,1961,1,2,14,0.000376
1961.63,3.73,1961,2,3,15,0.000746
1961.8949,6.5,1961,3,4,16,0.0013
1962.1137,11.06,1962,0,1,17,0.002212
1962.3901,15.64,1962,1,2,18,0.003128
1962.6205,8.44,1962,2,3,19,0.001688
1962.8729,189.48,1962,3,4,20,0.037896
1963.1498,107.18,1963,0,1,21,0.021436
1963.392,54.73,1963,1,2,22,0.010946
1963.6683,82.84,1963,2,3,23,0.016568
1963.8744,295.54,1963,3,4,24,0.059108
1964.1511,238.58,1964,0,1,25,0.047716
1964.3713,15.09,1964,1,2,26,0.003018
1964.6246,18.76,1964,2,3,27,0.003752
1964.9008,60.43,1964,3,4,28,0.012086
1965.1084,24.27,1965,0,1,29,0.004854
1965.3849,10.75,1965,1,2,30,0.00215
1965.6037,14.41,1965,2,3,31,0.002882
1965.88,28.94,1965,3,4,32,0.005788
1966.1221,3.64,1966,0,1,33,0.000728
1966.387,5.5,1966,1,2,34,0.0011
1966.6058,5.54,1966,2,3,35,0.001108
1966.9052,22.79,1966,3,4,36,0.004558
1967.1356,22.83,1967,0,1,37,0.004566
1967.4005,12.92,1967,1,2,38,0.002584
1967.6422,41.02,1967,2,3,39,0.008204
1967.8828,262.78,1967,3,4,40,0.052556
1968.1485,137.95,1968,0,1,41,0.02759
1968.3793,64.68,1968,1,2,42,0.012936
1968.6559,36.68,1968,2,3,43,0.007336
1968.8744,92.83,1968,3,4,44,0.018566
1969.1051,38.57,1969,0,1,45,0.007714
1969.3701,12.37,1969,1,2,46,0.002474
1969.635,11.52,1969,2,3,47,0.002304
1969.8998,36.9,1969,3,4,48,0.00738
