t,S0,S1,S2,S3,S4,I0,I1,I2,I3,I4,R0,R1,R2,R3,R4
0,322945,322945,322945,322945,322945,737,737,737,737,737,176318,176318,176318,176318,176318
0.142973,322971,322964,322974,322954,322967,745,753,740,742,729,176287,176276,176283,176309,176300
0.285968,322988,322995,323005,322975,323000,761,756,747,744,723,176255,176254,176257,176290,176263
0.428947,323018,323012,323020,323003,322999,742,768,750,741,735,176237,176216,176246,176266,176243
0.571901,323012,323002,323024,323011,323024,758,775,757,748,729,176214,176212,176232,176251,176220
0.714799,323023,323004,323051,323035,323042,773,783,765,743,742,176187,176196,176192,176231,176181
0.857979,323024,323021,323066,323035,323062,780,798,776,748,761,176171,176160,176168,176218,176146
1.00112,323045,323052,323079,323052,323081,771,800,773,745,762,176166,176132,176157,176194,176115
1.14404,323060,323066,323098,323062,323110,776,807,786,752,771,176147,176106,176133,176182,176085
1.28749,323091,323072,323128,323065,323157,766,816,804,770,764,176132,176095,176093,176157,176053
1.43047,323095,323095,323151,323073,323181,775,819,808,776,763,176105,176078,176071,176149,176030
1.57348,323120,323120,323149,323088,323222,778,821,808,789,759,176080,176050,176075,176125,175994
1.71641,323145,323145,323140,323096,323224,769,836,815,788,768,176067,176015,176066,176118,175980
1.85928,323158,323157,323143,323112,323239,794,825,829,784,788,176022,176012,176053,176108,175949
2.0022,323166,323172,323154,323125,323234,810,824,832,791,804,176000,175995,176035,176087,175938
2.14506,323186,323199,323164,323128,323230,811,822,823,795,818,175978,175979,176029,176074,175922
2.28807,323184,323222,323176,323146,323240,811,830,831,816,827,175971,175953,176013,176039,175901
2.43108,323218,323225,323185,323140,323252,804,839,846,829,824,175947,175943,175996,176025,175899
2.57395,323207,323252,323209,323156,323274,804,854,840,845,829,175953,175905,175982,176002,175876
2.71719,323218,323254,323213,323173,323278,812,855,862,855,837,175933,175899,175949,175983,175862
2.86017,323235,323270,323238,323187,323292,813,855,845,860,838,175911,175890,175942,175966,175838
3.00309,323252,323275,323244,323195,323319,826,875,857,855,833,175885,175873,175919,175968,175826
3.14595,323248,323284,323238,323187,323316,846,884,857,875,848,175865,175854,175918,175960,175818
3.28881,323277,323292,323255,323195,323310,849,879,861,887,861,175839,175851,175900,175935,175809
3.43178,323286,323299,323267,323212,323324,863,889,867,893,874,175812,175834,175881,175919,175793
3.57475,323293,323313,323282,323202,323317,855,881,867,921,902,175814,175825,175869,175902,175776
3.71766,323278,323327,323303,323200,323313,870,896,884,938,933,175806,175799,175829,175879,175756
3.86099,323285,323323,323279,323206,323294,876,922,922,937,959,175801,175775,175817,175873,175742
4.00387,323281,323318,323282,323190,323320,894,915,939,963,958,175785,175787,175790,175853,175728
4.14684,323289,323343,323269,323182,323333,920,915,953,985,972,175749,175765,175794,175837,175705
4.28975,323291,323328,323270,323200,323326,927,951,965,990,980,175742,175747,175771,175810,175708
4.43299,323276,323314,323269,323206,323320,954,962,976,990,985,175725,175739,175753,175796,175712
4.57613,323272,323307,323263,323208,323306,970,977,994,988,996,175712,175726,175743,175791,175721
4.71903,323243,323296,323274,323199,323293,977,998,1016,1001,1012,175726,175719,175712,175783,175713
